Body,Body Name,Name,Job Title,Service Area,FTE of minimum contracted hours,FTE salary,Ers Pension Contribution,Travel Expenses,Professional subscription re-inbursement,Severance
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Peter Sloman,Chief Executive,Senior Management,1,140000,28280.04,,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,David Edwards,Executive Director City Regeneration,Senior Management,1,109500,22119,130.5,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Tim Sadler,Executive Director City Services,Senior Management,1,109080,22034.16,25.6,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Graham Bourton,Head Service,Direct Services ,1,99000,19998,1474,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Jacqueline Yates,Corporate Director Finance & Efficiency,Senior Management,1,99000,19998,,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Steve Sprason,Head of Service,Corporate Assets,1,86000,17372.04,1532,415,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Michael Crofton-Briggs,Head of Service,City Development,1,82820,16665.51,,285,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Graham Stratford,Head of Service,Housing & Communities,1,82820,16665.51,,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Jeremy Thomas,Head of Service,Law & Governance,1,77770,16159.34,,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Simon Howick,Head of Service,People & Equalities,1,77770,15709.56,172.6,156,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Nigel Kennedy,Head of Service,Finance,1,76000,15224.03,115.4,285,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Helen Bishop,Head of Service,Customer Services,1,70700,14281.44,220.5,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Ian Brooke,Head of Service,City Leisure ,1,70700,14281.44,,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,John Copley,Head of Service,Environmental Development,1,70700,14281.44,38.6,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Jane Lubbock,Head of Service,Business Improvement,1,70700,14281.45,276.18,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Roy Summers,Deputy Head of Service,Direct Services,1,66845,12075.72,,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Val Johnson,Policy & Partnership Team Leader,Policy Culture & Communications,1,65441,13168.38,780,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Martin Westmoreland,Management Accounting Manager,Finance ,1,53827,11263.92,175,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Lindsay Cane,Legal Services Manager,Law & Governance,1,60600,12241.2,,,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Mark Jaggard,Spatial & Economic Development Manager,City Development,1,60600,12241.2,211,306,
http://statistics.data.gov.uk/id/local-authority/38UC,Oxford City Council,Peter McQuitty,Head of Service,Policy Culture & Communications,1,60600,12241.2,56.5,203,
